CreationDate,UserIds,Operations,AuditData
2022-06-27T12:17:02.0000000Z,test1@test.com,FileAccessed,"{""CreationTime"":""2022-06-27T12:17:02"",""Id"":""bd8ed170-9264-4fcd-c0cf-08d53fe11bab"",""Operation"":""FileAccessed"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0i.t|00000003-0000-0ff1-ce00-000000000000|test1@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""52.52.222.175"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline\/Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""UserId"":""test1@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""0091601d-b4f2-45eb-8693-6b207f1cc9f1"",""ListItemUniqueId"":""9da2ef61-ea95-4944-820a-18642eed143c"",""Site"":""f2b72e79-6e67-4163-b736-0112c6e2d918"",""UserAgent"":""Apache-HttpClient\/4.5.2 (Java\/1.8.0_121)"",""WebId"":""0e4cf305-56e5-47df-8939-c8a7aee70f47"",""SourceFileExtension"":""xls"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/"",""SourceFileName"":""Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""SourceRelativeUrl"":""Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline""}"
2022-06-27T12:19:16.0000000Z,test2@test.com,FileDeleted,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""b9f33a44-038a-49f1-6f45-08d5403ad0e6"",""Operation"":""FileDeleted"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0h.f|membership|test2@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""195.138.83.92"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com\/Documents\/MappingAuto\/ATestFile1.docx"",""UserId"":""test2@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""6228cc67-aab0-44cf-89c2-f68a5ef79b4d"",""ListItemUniqueId"":""4676742c-3a49-48c2-aba3-a2dc57fa20ac"",""Site"":""5af6924b-a337-4895-a153-b559e2111bdc"",""UserAgent"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/63.0.3239.84 Safari\/537.36"",""WebId"":""760ff412-5bcc-46f1-aa38-ab14c7fcd479"",""SourceFileExtension"":""docx"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com\/"",""SourceFileName"":""ATestFile1.docx"",""SourceRelativeUrl"":""Documents\/MappingAuto""}"
2022-06-27T12:19:16.0000000Z,test3@test.com,FilePreviewed,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""6275615e-b9b2-4be7-2338-08d5414232cf"",""Operation"":""FilePreviewed"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0h.f|membership|test3@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""168.63.168.250"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_com\/Documents\/Shai Test\/Sensetive files25\/3.pptx"",""UserId"":""test3@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""145ccba9-88c7-4093-8f57-e216180b0976"",""ListItemUniqueId"":""7d536b03-94f8-4d60-9fa6-137ad67825fb"",""Site"":""a6315520-4891-4ce9-adfe-42d158567938"",""UserAgent"":""Mozilla\/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/62.0.3202.94 Safari\/537.36"",""WebId"":""20a8224f-e967-433a-bc6a-e5375419f574"",""SourceFileExtension"":""pptx"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_com\/"",""SourceFileName"":""3.pptx"",""SourceRelativeUrl"":""Documents\/Shai Test\/Sensetive files25""}"
2022-06-27T12:19:16.0000000Z,test4@test.com,Add user.,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""83e10fc4-529d-48ca-8b3a-afc376e4331c"",""Operation"":""Add user."",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":8,""ResultStatus"":""success"",""UserKey"":""test4@test.com"",""UserType"":0,""Version"":1,""Workload"":""AzureActiveDirectory"",""ObjectId"":""test4@test.com"",""UserId"":""test4@test.com"",""AzureActiveDirectoryEventType"":1,""ExtendedProperties"":[{""Name"":""AccountEnabled"",""Value"":""[] => [True]; ""},{""Name"":""StsRefreshTokensValidFrom"",""Value"":""[] => [2017-12-11T02:05:11Z]; ""},{""Name"":""UserPrincipalName"",""Value"":""[] => [test4@test.com]; ""},{""Name"":""UserType"",""Value"":""[] => [Member]; ""},{""Name"":""Included Updated Properties"",""Value"":""AccountEnabled, StsRefreshTokensValidFrom, UserPrincipalName, UserType""}],""Actor"":[{""ID"":""test4@test.com"",""Type"":5},{""ID"":""10033FFF906CD323"",""Type"":3},{""ID"":""User_26ef84cf-57a5-437a-84c2-e913ceb0148f"",""Type"":2}],""ActorContextId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""InterSystemsId"":""46ecd555-3d79-47d4-8e0e-59af616f2c11"",""IntraSystemId"":""d32a4d9d-9a7a-4969-8e4e-f355c47492e4"",""Target"":[{""ID"":""User_0b0f88f0-f69f-4588-afe8-1b094ffa015e"",""Type"":2},{""ID"":""test4@test.com"",""Type"":5},{""ID"":""10037FFEA6CB98C4"",""Type"":3}],""TargetContextId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7""}"
2022-06-27T12:19:16.0000000Z,test5@test.com,FileRenamed,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""56934de3-879a-4ceb-ed39-08d53fe1a7f2"",""Operation"":""FileRenamed"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0i.t|00000003-0000-0ff1-ce00-000000000000|test5@test.com"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""31.154.9.98"",""ObjectId"":""https:\/\/veridinet.sharepoint.com\/sites\/Doron-Test\/subsite4\/Sub%20site5\/Shared Documents\/Offline-Automation\/Mitigation\/SkyfenceTest\/~tmp84_SkyfenceTestFile.txt"",""UserId"":""test5@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""d8b2a3ae-5189-44ef-a604-85ab865e986d"",""ListItemUniqueId"":""3eb89305-d65e-4b77-86cf-bd2dbd95226f"",""Site"":""c1d95607-bcf4-4b06-8ed4-07060a7f346e"",""UserAgent"":""Apache-HttpClient\/4.5.2 (Java\/1.8.0_131)"",""WebId"":""3e9baa1c-4726-4e4f-b4a8-acd31de345f3"",""DestinationFileExtension"":""txt"",""SourceFileExtension"":""txt"",""DestinationFileName"":""SkyfenceTestFile.txt"",""DestinationRelativeUrl"":""subsite4\/Sub%20site5\/Shared Documents\/Offline-Automation\/Mitigation\/SkyfenceTest"",""SiteUrl"":""https:\/\/veridinet.sharepoint.com\/sites\/Doron-Test\/"",""SourceFileName"":""~tmp84_SkyfenceTestFile.txt"",""SourceRelativeUrl"":""subsite4\/Sub%20site5\/Shared Documents\/Offline-Automation\/Mitigation\/SkyfenceTest""}"
2022-06-27T12:19:16.0000000Z,test6@test.com,FileAccessed,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""bd8ed170-9264-4fcd-c0cf-08d53fe11bab"",""Operation"":""FileAccessed"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0i.t|00000003-0000-0ff1-ce00-000000000000|test6@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""52.52.222.175"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline\/Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""UserId"":""test6@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""0091601d-b4f2-45eb-8693-6b207f1cc9f1"",""ListItemUniqueId"":""9da2ef61-ea95-4944-820a-18642eed143c"",""Site"":""f2b72e79-6e67-4163-b736-0112c6e2d918"",""UserAgent"":""Apache-HttpClient\/4.5.2 (Java\/1.8.0_121)"",""WebId"":""0e4cf305-56e5-47df-8939-c8a7aee70f47"",""SourceFileExtension"":""xls"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/"",""SourceFileName"":""Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""SourceRelativeUrl"":""Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline""}"
2022-06-27T12:19:16.0000000Z,test7@test.com,SharingSet,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""769e586b-0933-46f1-7ef1-08d53f71861c"",""Operation"":""SharingSet"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":14,""UserKey"":""i:0h.f|membership|test7@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""195.138.83.92"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com\/Documents\/MappingAuto\/ATestFile1.docx"",""UserId"":""test7@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""6228cc67-aab0-44cf-89c2-f68a5ef79b4d"",""ListItemUniqueId"":""4676742c-3a49-48c2-aba3-a2dc57fa20ac"",""Site"":""5af6924b-a337-4895-a153-b559e2111bdc"",""UserAgent"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/63.0.3239.84 Safari\/537.36"",""WebId"":""760ff412-5bcc-46f1-aa38-ab14c7fcd479"",""EventData"":""<Permissions granted>Contribute<\/Permissions granted>"",""SourceFileExtension"":""docx"",""TargetUserOrGroupType"":""SharePointGroup"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com"",""SourceFileName"":""ATestFile1.docx"",""SourceRelativeUrl"":""Documents\/MappingAuto\/ATestFile1.docx"",""TargetUserOrGroupName"":""SharingLinks.4676742c-3a49-48c2-aba3-a2dc57fa20ac.OrganizationEdit.21071db2-3d74-4261-922f-0a7854968665""}"
2022-06-27T12:19:16.0000000Z,test8@test.com,SharingSet,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""769e586b-0933-46f1-7ef1-08d53f71861c"",""Operation"":""SharingSet"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":14,""UserKey"":""i:0h.f|membership|test8@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""195.138.83.92"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com\/Documents\/MappingAuto\/ATestFile1.docx"",""UserId"":""test8@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""6228cc67-aab0-44cf-89c2-f68a5ef79b4d"",""ListItemUniqueId"":""4676742c-3a49-48c2-aba3-a2dc57fa20ac"",""Site"":""5af6924b-a337-4895-a153-b559e2111bdc"",""UserAgent"":""Mozilla\/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/63.0.3239.84 Safari\/537.36"",""WebId"":""760ff412-5bcc-46f1-aa38-ab14c7fcd479"",""EventData"":""<Permissions granted>Contribute<\/Permissions granted>"",""SourceFileExtension"":""docx"",""TargetUserOrGroupType"":""SharePointGroup"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/johndoe_veridinet_onmicrosoft_com"",""SourceFileName"":""ATestFile1.docx"",""SourceRelativeUrl"":""Documents\/MappingAuto\/ATestFile1.docx"",""TargetUserOrGroupName"":""SharingLinks.4676742c-3a49-48c2-aba3-a2dc57fa20ac.OrganizationEdit.21071db2-3d74-4261-922f-0a7854968665""}"
2022-06-27T12:19:16.0000000Z,test9@test.com,FileAccessed,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""bd8ed170-9264-4fcd-c0cf-08d53fe11bab"",""Operation"":""FileAccessed"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0i.t|00000003-0000-0ff1-ce00-000000000000|test9@test.com"",""UserType"":0,""Version"":1,""Workload"":""OneDrive"",""ClientIP"":""52.52.222.175"",""ObjectId"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline\/Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""UserId"":""test9@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""0091601d-b4f2-45eb-8693-6b207f1cc9f1"",""ListItemUniqueId"":""9da2ef61-ea95-4944-820a-18642eed143c"",""Site"":""f2b72e79-6e67-4163-b736-0112c6e2d918"",""UserAgent"":""Apache-HttpClient\/4.5.2 (Java\/1.8.0_121)"",""WebId"":""0e4cf305-56e5-47df-8939-c8a7aee70f47"",""SourceFileExtension"":""xls"",""SiteUrl"":""https:\/\/veridinet-my.sharepoint.com\/personal\/alan_veridinet_onmicrosoft_com\/"",""SourceFileName"":""Workdocs Tiered Folder - Users-User1_Clients_Billings.xls"",""SourceRelativeUrl"":""Documents\/ASVTest\/Unshare\/Archive\/personal\/alan_veridinet_onmicrosoft_com\/Documents\/1tomkeev tests\/Regression Offline""}"
2022-06-27T12:19:16.0000000Z,test10@test.com,FileModified,"{""CreationTime"":""2022-06-27T12:19:16"",""Id"":""33bab720-a378-4143-ed5a-08d53fe1a7d3"",""Operation"":""FileModified"",""OrganizationId"":""73f5d3eb-40ae-45bd-82b4-20a92a4187c7"",""RecordType"":6,""UserKey"":""i:0i.t|00000003-0000-0ff1-ce00-000000000000|test10@test.com"",""UserType"":0,""Version"":1,""Workload"":""SharePoint"",""ClientIP"":""31.154.9.98"",""ObjectId"":""https:\/\/veridinet.sharepoint.com\/sites\/Doron-Test\/subsite4\/Sub site5\/Shared Documents\/Offline-Automation\/Mitigation\/SkyfenceTest\/~tmp84_SkyfenceTestFile.txt"",""UserId"":""test10@test.com"",""EventSource"":""SharePoint"",""ItemType"":""File"",""ListId"":""d8b2a3ae-5189-44ef-a604-85ab865e986d"",""ListItemUniqueId"":""3eb89305-d65e-4b77-86cf-bd2dbd95226f"",""Site"":""c1d95607-bcf4-4b06-8ed4-07060a7f346e"",""UserAgent"":""Apache-HttpClient\/4.5.2 (Java\/1.8.0_131)"",""WebId"":""3e9baa1c-4726-4e4f-b4a8-acd31de345f3"",""SourceFileExtension"":""txt"",""SiteUrl"":""https:\/\/veridinet.sharepoint.com\/sites\/Doron-Test\/"",""SourceFileName"":""~tmp84_SkyfenceTestFile.txt"",""SourceRelativeUrl"":""subsite4\/Sub site5\/Shared Documents\/Offline-Automation\/Mitigation\/SkyfenceTest""}"
